,Unnamed: 0,latitude,longitude,property_type,room_type,beds,accommodates,price,number_of_reviews,review_scores_rating,host_is_superhost,host_listings_count,host_total_listings_count
12942,17179,40.7622,-73.99338,Private room in rental unit,Private room,1.0,1,185.0,12,4.67,False,1.0,2.0
12943,17180,40.67933,-73.9736,Entire rental unit,Entire home/apt,2.0,6,197.0,4,5.0,False,1.0,2.0
12944,17181,40.76507309239736,-73.88871864689439,Entire rental unit,Entire home/apt,1.0,2,100.0,13,4.23,False,1.0,3.0
12945,17182,40.77596,-73.90777,Entire loft,Entire home/apt,2.0,2,314.0,71,4.79,True,1.0,2.0
12947,17184,40.77844,-73.97855,Entire rental unit,Entire home/apt,1.0,4,200.0,3,4.67,False,1.0,2.0
12948,17186,40.67403,-73.96321,Private room in rental unit,Private room,1.0,3,71.0,11,4.45,False,2.0,2.0
12949,17187,40.67252,-73.96288,Entire rental unit,Entire home/apt,2.0,4,125.0,3,4.33,False,2.0,2.0
12950,17188,40.65968,-73.93858,Private room in home,Private room,1.0,1,42.0,1,3.0,False,16.0,19.0
12951,17190,40.65937009832291,-73.93820513989975,Private room in home,Private room,2.0,1,44.0,1,3.0,False,16.0,19.0
12952,17191,40.66014,-73.93863,Private room in home,Private room,2.0,1,42.0,1,5.0,False,16.0,19.0
12953,17194,40.659676269984764,-73.93693651482283,Private room in home,Private room,2.0,1,81.0,1,5.0,False,16.0,19.0
12954,17196,40.65935,-73.9374,Entire home,Entire home/apt,8.0,7,190.0,1,5.0,False,16.0,19.0
12955,17197,40.65971258591858,-73.938714452912,Entire home,Entire home/apt,6.0,7,468.0,1,5.0,False,16.0,19.0
12956,17199,40.66166,-73.93793,Private room in home,Private room,2.0,1,35.0,3,3.33,False,16.0,19.0
12957,17200,40.65947,-73.93833,Entire home,Entire home/apt,8.0,5,174.0,3,4.33,False,16.0,19.0
12958,17201,40.67959,-73.96919,Private room in rental unit,Private room,1.0,1,60.0,2,5.0,False,3.0,5.0
12959,17202,40.67776,-73.969,Private room in rental unit,Private room,1.0,1,60.0,5,4.8,False,3.0,5.0
12960,17204,40.70851,-73.95872,Private room in rental unit,Private room,1.0,2,65.0,10,5.0,False,1.0,1.0
12961,17205,40.78470035435169,-73.8578006853152,Entire condo,Entire home/apt,3.0,5,226.0,15,4.87,False,1.0,1.0
12962,17206,40.85981,-73.9063,Private room in home,Private room,1.0,2,45.0,167,4.46,False,2.0,2.0
12963,17207,40.70797,-73.95188,Entire loft,Entire home/apt,5.0,4,799.0,128,4.8,False,1.0,1.0
12964,17209,40.67862,-73.93818,Entire rental unit,Entire home/apt,1.0,2,138.0,34,4.79,False,5.0,7.0
12965,17210,40.68023,-73.93948,Entire rental unit,Entire home/apt,1.0,2,142.0,12,4.17,False,5.0,7.0
12966,17211,40.67933203699318,-73.93765580931733,Entire rental unit,Entire home/apt,2.0,4,213.0,7,5.0,False,5.0,7.0
12967,17212,40.67843,-73.93847,Entire serviced apartment,Entire home/apt,2.0,4,201.0,75,4.63,False,5.0,7.0
12968,17213,40.77857,-73.97983,Entire rental unit,Entire home/apt,2.0,4,259.0,20,4.63,False,1.0,1.0
12969,17214,40.7832,-73.97744,Entire rental unit,Entire home/apt,1.0,2,150.0,2,5.0,False,1.0,1.0
12970,17215,40.77195,-73.95726,Private room in rental unit,Private room,1.0,2,104.0,168,4.97,True,1.0,3.0
12971,17217,40.73299,-73.99012,Entire rental unit,Entire home/apt,3.0,3,525.0,4,5.0,False,1.0,1.0
12972,17220,40.68288,-73.94688,Entire rental unit,Entire home/apt,2.0,4,140.0,31,4.84,False,1.0,2.0
12973,17221,40.61169,-74.08928,Entire home,Entire home/apt,5.0,7,295.0,131,4.97,True,1.0,1.0
12974,17222,40.67981,-73.97758,Entire rental unit,Entire home/apt,2.0,4,200.0,61,4.9,False,1.0,1.0
12975,17224,40.7601775,-73.9843631,Entire rental unit,Entire home/apt,1.0,4,540.0,1,4.0,False,26.0,29.0
12976,17225,40.58469,-73.81333,Floor,Entire home/apt,2.0,4,125.0,1,4.0,False,1.0,1.0
12977,17226,40.66234,-73.73118,Entire home,Entire home/apt,2.0,4,161.0,8,4.75,True,1.0,2.0
12978,17230,40.72034,-73.99099,Entire rental unit,Entire home/apt,1.0,2,220.0,14,4.71,False,1.0,1.0
